orderId,Account,Order ID,B/S,Contract,Product,Product Description,avgPrice,filledQty,Fill Time,lastCommandId,Status,_priceFormat,_priceFormatType,_tickSize,spreadDefinitionId,Version ID,Timestamp,Date,Quantity,Text,Type,Limit Price,Stop Price,decimalLimit,decimalStop,Filled Qty,Avg Fill Price,decimalFillAvg,Venue,Notional Value,Currency
393570670770,ELTDEN260204090946817029,393570670770, Sell,NQH6,NQ,E-Mini NASDAQ 100,25271.0,1,02/11/2026 15:34:46,393570670777, Filled,-2,0,0.25,,393570670777,02/11/2026 15:30:36,2/11/26,1,DOM, Stop,,25271.00,,25271.0,1,25271.00,25271.0,,"505,420.00",USD
393570670787,ELTDEN260204090946817029,393570670787, Buy,NQH6,NQ,E-Mini NASDAQ 100,25266.0,1,02/11/2026 16:10:55,393570670787, Filled,-2,0,0.25,,393570670787,02/11/2026 15:35:04,2/11/26,1,DOM, Limit,25266.00,,25266.0,,1,25266.00,25266.0,,"505,320.00",USD
393570670798,ELTDEN260204090946817029,393570670798, Buy,MESH6,MES,Micro E-mini S&P 500,6961.25,1,02/12/2026 01:33:16,393570670864, Filled,-2,0,0.25,,393570670864,02/12/2026 01:33:15,2/12/26,1,Chart, Stop,,6961.25,,6961.25,1,6961.25,6961.25,,"34,806.25",USD
393570670801,ELTDEN260204090946817029,393570670801, Buy,MESH6,MES,Micro E-mini S&P 500,6962.25,1,02/12/2026 01:33:17,393570670852, Filled,-2,0,0.25,,393570670852,02/12/2026 01:31:40,2/12/26,1,Chart, Stop,,6962.25,,6962.25,1,6962.25,6962.25,,"34,811.25",USD
393570670804,ELTDEN260204090946817029,393570670804, Sell,MESH6,MES,Micro E-mini S&P 500,6966.0,1,02/12/2026 01:33:46,393570670901, Filled,-2,0,0.25,,393570670901,02/12/2026 01:33:23,2/12/26,1,Chart, Limit,6966.00,,6966.0,,1,6966.00,6966.0,,"34,830.00",USD
393570670807,ELTDEN260204090946817029,393570670807, Sell,MESH6,MES,Micro E-mini S&P 500,,,,393570670895, Canceled,-2,0,0.25,,393570670895,02/12/2026 01:33:20,2/12/26,1,Chart, Limit,6966.50,,6966.5,,,,,,,USD
393570670822,ELTDEN260204090946817029,393570670822, Sell,MESH6,MES,Micro E-mini S&P 500,6966.0,1,02/12/2026 01:33:46,393570670899, Filled,-2,0,0.25,,393570670899,02/12/2026 01:33:23,2/12/26,1,DOM, Limit,6966.00,,6966.0,,1,6966.00,6966.0,,"34,830.00",USD
393570670825,ELTDEN260204090946817029,393570670825, Buy,MESH6,MES,Micro E-mini S&P 500,6961.5,1,02/12/2026 01:33:16,393570670860, Filled,-2,0,0.25,,393570670860,02/12/2026 01:33:09,2/12/26,1,Chart, Stop,,6961.50,,6961.5,1,6961.50,6961.5,,"34,807.50",USD
393570670923,ELTDEN260204090946817029,393570670923, Buy,MESH6,MES,Micro E-mini S&P 500,,,,393570670923, Rejected,-2,0,0.25,,393570670923,02/12/2026 01:33:56,2/12/26,1,DOM, Stop,,6963.00,,6963.0,,,,,,USD
393570670926,ELTDEN260204090946817029,393570670926, Sell,MESH6,MES,Micro E-mini S&P 500,,,,393570670926, Canceled,-2,0,0.25,,393570670926,02/12/2026 01:34:03,2/12/26,1,DOM, Stop,,6963.00,,6963.0,,,,,,USD
393570670932,ELTDEN260204090946817029,393570670932, Sell,MESH6,MES,Micro E-mini S&P 500,6963.0,1,02/12/2026 01:34:31,393570670939, Filled,-2,0,0.25,,393570670939,02/12/2026 01:34:29,2/12/26,1,DOM, Stop,,6963.00,,6963.0,1,6963.00,6963.0,,"34,815.00",USD
